Date,State,State Abbr,emergency,stay_at_home,schools,day_cares,visitors_nursing_homes,non_essential_business,restaurants,bars,elective_surgery,mask_req_in_public,mask_req_employees
13-Mar-20,Arizona,AZ,0,1,1,1,1,1,1,1,0,0,0
14-Mar-20,Arizona,AZ,0,1,1,1,1,1,1,1,0,0,0
15-Mar-20,Arizona,AZ,0,1,1,1,1,1,1,1,0,0,0
16-Mar-20,Arizona,AZ,0,1,0,1,1,1,1,1,0,0,0
17-Mar-20,Arizona,AZ,0,1,0,1,1,1,1,1,0,0,0
18-Mar-20,Arizona,AZ,0,1,0,1,1,1,1,1,0,0,0
19-Mar-20,Arizona,AZ,0,1,0,1,1,1,1,1,0,0,0
20-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
21-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
22-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
23-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
24-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
25-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
26-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
27-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
28-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
29-Mar-20,Arizona,AZ,0,1,0,1,1,1,0,0,0,0,0
30-Mar-20,Arizona,AZ,0,1,0,1,1,0,0,0,0,0,0
31-Mar-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
01-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
02-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
03-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
04-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
05-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
